gene_id,log2fc,padj,comparison,source_sheet
B9J08_004637,1.455691341,0.001392336,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002652,1.446867331,8.68e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002165,1.445820057,0.000148015,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001831,1.435245935,0.001784598,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000474,1.432039859,0.002513741,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003392,1.422306814,0.00024047,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000847,1.421952238,0.006784144,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002201,1.416522057,0.000805119,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000925,1.416370167,0.000484197,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001235,1.415491933,0.000771486,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005147,1.408937939,0.001643155,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002027,1.405541296,0.000306871,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004877,1.395486403,0.008598315,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004458,1.386041936,0.000162083,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005081,1.382096582,3.74e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002256,1.374025612,6.48e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002628,1.37311386,0.002790871,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004351,1.372323598,0.009158636,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003258,1.370250439,2.34e-11,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003969,1.36947042,0.007810161,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004027,1.366286944,0.005614242,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003912,1.361620139,3.86e-10,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003750,1.358237911,0.000107365,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000928,1.351057419,6.18e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004366,1.349407636,0.000864672,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001291,1.348252744,0.000144145,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000010,1.348217905,0.004561642,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004940,1.341791862,1.32e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000995,1.339178093,0.001518894,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000591,1.338872988,2.66e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003694,1.334458586,2.6e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002334,1.33277781,0.000742306,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003909,1.329375075,0.003026064,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003019,1.320976477,2.88e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004367,1.315577686,0.0034235,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005002,1.304963101,1.45e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001352,1.299671292,0.0028335,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005199,1.299319137,8.68e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004934,1.293572647,0.006492683,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004479,1.291279426,2.74e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001968,1.278800312,0.009064884,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000873,1.274521382,0.009850894,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000292,1.274437913,0.000157798,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003280,1.268298455,0.000662188,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003397,1.267915606,0.006202484,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001889,1.264981697,0.004561642,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003448,1.26239266,0.000201106,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002576,1.258610252,0.000104979,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002351,1.257597594,1.23e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002669,1.257299921,0.006648706,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000905,1.251078542,0.003975831,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003689,1.245533059,0.002204882,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001371,1.245010872,0.003447911,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003709,1.241074103,0.004802379,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000615,1.240361827,0.001701802,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002886,1.233352339,0.000319323,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003186,1.225429528,0.00574311,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002330,1.211410784,0.000228867,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002279,1.209253555,1.59e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002149,1.180406083,0.000189404,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001834,1.180190254,0.005322676,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003564,1.170491127,0.006723786,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
